location_id,location_type,address,baidu_lat,baidu_lng,city,title,province_state,region,sales_phone,trt_id,country
cnsc9756,"['supercharger', 'standard charger']",陕西省西安市莲湖区星火路22号老城根G PARK地上停车场（入口：永宜路）,34.2907640000,108.9243930000,西安,西安老城根G PARK超级充电站（V3 | 新国标）,陕西,asia_pacific,400 910 0707,27019,中国大陆
cnsc9757,"['supercharger', 'standard charger']",山西省运城市盐湖区红旗西街53号建国饭店内东南侧地面停车场（入口：红旗西街）,35.0172632600,111.0037650000,运城,运城建国饭店超级充电站（V3 | 新国标）,山西,asia_pacific,400 910 0707,29152,中国大陆
cnsc9758,"['supercharger', 'standard charger']",广东省揭阳市榕城区榕华大道左右城地面停车场（入口：榕华大道辅路）,23.5022140000,116.3624570000,揭阳,揭阳柏汇左右城超级充电站（V3 | 新国标）,广东,asia_pacific,400 910 0707,30712,中国大陆
cnsc9759,"['supercharger', 'standard charger']",浙江省温州市鹿城区市府路168号合众大厦地下停车场B2层（入口：万源路）,27.9987630000,120.7138030000,温州,温州合众大厦超级充电站（V3 | 新国标）,浙江,asia_pacific,400 910 0707,28619,中国大陆
cnsc9760,"['supercharger', 'standard charger']",江苏省扬州市邗江区大虹桥路26号虹桥坊停车场地下一层B区（入口：瘦西湖路）,32.4084940000,119.4359720000,扬州,扬州虹桥坊超级充电站（V3 | 新国标）,江苏,asia_pacific,400 910 0707,20617,中国大陆
cnsc9761,"['supercharger', 'standard charger']",四川省眉山市东坡区一环东路拾柒街地下停车场负二层C区555车位旁（入口：一环东路）,30.0491220000,103.8475400000,眉山,眉山拾柒街超级充电站（V3 | 新国标）,四川,asia_pacific,400 910 0707,28789,中国大陆
cnsc9762,"['supercharger', 'standard charger']",贵州省贵阳市白云区龙井路1号梵华里地下停车场B区B096车位旁（入口：诚信路）,26.6736120000,106.6265220000,贵阳,贵阳白云区梵华里超级充电站（V3 | 新国标）,贵州,asia_pacific,400 910 0707,27461,中国大陆
tianjinkonggang,"['store', 'service', 'standard charger']",天津市空港经济区汽车园中路39号2幢,39.1661960000,117.3838550000,天津,天津空港特斯拉中心,天津,asia_pacific, 022-81117106,21150,中国大陆
cnsc9763,"['supercharger', 'standard charger']",上海市青浦区淀山湖大道399号广场地下停车场B1层B区117-122车位（入口：漕程路）,31.1478190000,121.1014090000,上海,上海市399广场超级充电站（V3 | 新国标）,上海,asia_pacific,400 910 0707,28547,中国大陆
cnsc9764,"['supercharger', 'standard charger']",浙江省台州市天台县寒山路466号国大新天地地面停车场（入口：寒山路）,29.1556560000,121.0301740000,台州,台州天台国大新天地超级充电站（V3 | 新国标）,浙江,asia_pacific,400 910 0707,28598,中国大陆
cndc1094220,['destination charger'],新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市迎宾路南航华府小区1号楼,41.7400500000,86.1812600000,库尔勒,库尔勒福润宾馆目的地充电站(新国标),新疆,asia_pacific, 0996-2058333,58133,中国大陆
cnsc9765,"['supercharger', 'standard charger']",广东省佛山市顺德区裕和路109号东平保利广场地下负三层停车场（入口：君兰西路）,22.9714800000,113.1382050000,佛山,佛山东平保利广场超级充电站（V3 | 新国标）,广东,asia_pacific,400 910 0707,29154,中国大陆
cnsc9766,"['supercharger', 'standard charger']",湖南省湘西土家族苗族自治州吉首市武陵东路9号步步高广场地下停车场负二楼C区（入口：武陵东路）,28.3156700000,109.7487350000,吉首,吉首步步高广场超级充电站（V3 | 新国标）,湖南,asia_pacific,400 910 0707,28206,中国大陆
cnsc9767,"['supercharger', 'standard charger']",浙江省杭州市萧山区山阴路688号地下一层C区（入口：停车场南门）,30.1849690000,120.2680240000,杭州,杭州萧山众安广场超级充电站（V3 | 新国标）,浙江,asia_pacific,400 910 0707,20710,中国大陆
cnbs153,['bodyshop'],安徽省黄山市经济开发区齐云大道131号（黄山亚夏汽车城内）,29.7532720000,118.2759640000,黄山,黄山亚翔汽车销售服务有限公司,安徽,asia_pacific, 0559-2317333,0,中国大陆
changshuaeonmall,['store'],江苏省苏州市常熟市东南大道168号永旺梦乐城123-1号商铺,31.6069020000,120.7851200000,常熟,常熟梦乐城体验店,江苏,asia_pacific, 0512-68528367,25840,中国大陆
cnsc9768,"['supercharger', 'standard charger']",湖北省武汉市江汉区新华路468号地下二层B区B192车位旁（入口：新华路停车场入口）,30.6119030000,114.2768510000,武汉,武汉CFD时代财富中心超级充电站（V3 | 新国标）,湖北,asia_pacific,400 910 0707,29065,中国大陆
cnsc9769,"['supercharger', 'standard charger']",湖北省武汉市江夏区联投万汇mall地下停车场A区（入口：古驿北路）,30.3803760000,114.3261320000,武汉,武汉联投万汇mall超级充电站（V3 | 新国标）,湖北,asia_pacific,400 910 0707,29066,中国大陆
cnsc9770,"['supercharger', 'standard charger']",浙江省杭州市余杭区联创街与创景路交叉口东北100米奥克斯中心地下停车场M层B区（入口：联创街）,30.2879850000,120.0043890000,杭州,杭州奥克斯广场超级充电站（V3 | 新国标）,浙江,asia_pacific,400 910 0707,29208,中国大陆
cnsc9771,"['supercharger', 'standard charger']",福建省福州市长乐区吴航路国惠大酒店地面停车场靠近东门区域（入口：广场路辅路）,25.9587340000,119.5054750000,福州,福州长乐国惠酒店超级充电站（V3 | 新国标）,福建,asia_pacific,400 910 0707,29502,中国大陆
