name,site,lat,lng,areaShopTell,areaShopCity,areaShopCityCode,areaShopProvince,areaShopProvinceCode,shopServiceCategory,storeName
金宇汽配城店济宁,济宁市金宇汽配城中排7号,35.427575,116.542495,,济宁市,370800,山东省,370000,"4,5",服务中心
瀛洲南路店连云港,连云港市海州区瀛洲南路108号,34.539162,119.238033,0518-85112888,连云港市,320700,江苏省,320000,"1,2",体验中心
瀛洲南路店连云港,江苏省连云港市海州区瀛洲南路108号,34.539166,119.238029,,连云港市,320700,江苏省,320000,"4,5",服务中心
仁和店达州,四川省达州市通川区巴渠东路318号1号楼负一层B04,31.225335,107.467098,15328931177,达州市,511700,四川省,510000,"1,2",体验中心
汽博店达州,四川省达州市通川区东岳镇有力镇九组（达州汽博中心）,31.318437,107.488934,,达州市,511700,四川省,510000,"4,5",零跑中心
开元广场店开封,金明大道开元广场1楼6号商铺,34.798021,114.30093,0371-23883666,开封市,410200,河南省,410000,"1,2",体验中心
星光天地店开封,开封市星光天地购物中心B馆一层B1-019A,34.807628,114.321692,400-0301-520,开封市,410200,河南省,410000,"1,2",体验中心
宋城路店开封,集英街和宋城路交叉口,34.786985,114.290095,,开封市,410200,河南省,410000,"4,5",体验中心
服务授权点复兴大道店开封,复兴大道西段圣桦城西200米路北,34.832084,114.321998,,开封市,410200,河南省,410000,"4,5",服务授权点
爱琴海店滨州,黄河十二路新立河东路爱琴海购物公园一层F1016号商铺,37.404979,117.992466,18606497521,滨州市,371600,山东省,370000,"1,2",体验中心
铭瑞店滨州,山东省滨州市滨城区渤海五路与滨澳大道交叉口东侧,37.452277,117.994514,13884858133,滨州市,371600,山东省,370000,"1,3,4,5,2",零跑中心
渤海二十四路店滨州,渤海二十四路501号,37.37,117.92,,滨州市,371600,山东省,370000,"4,5",服务中心
光明东道店廊坊,河北省廊坊市广阳区和平路8号零跑汽车,39.511874,116.719505,0316-2132564,廊坊市,131000,河北省,130000,"1,3,4,5,2",零跑中心
亿和SOHO广场店洛阳,洛阳市洛龙区牡丹大道张衡街交汇处SOHO国际广场A座一楼01号商铺C区,34.590751,112.401369,0379-67858585,洛阳市,410300,河南省,410000,"1,2",体验中心
新都汇店洛阳,解放路56号新都汇公园1层D2808,34.671115,112.434721,0379-69333555,洛阳市,410300,河南省,410000,"1,2",体验中心
中弘范特区店洛阳,河南省洛阳市涧西区武汉路街道范特区购物中心1F07A号,34.662598,112.365408,0379-65816777,洛阳市,410300,河南省,410000,"1,2",体验中心
正大国际广场店洛阳,洛阳市洛龙区开元大道225号正大国际广场,34.616258,112.460262,19937905809,洛阳市,410300,河南省,410000,"1,2",体验中心
名门微生活店洛阳,南昌路街道南昌路与九都路交叉口西南名门微生活一楼A102、 A103,34.647879,112.404642,0379-63620010,洛阳市,410300,河南省,410000,"1,2",体验中心
张衡街店洛阳,牡丹大道与张衡街交叉口互联网产业园B栋1楼101号,34.59,112.40,,洛阳市,410300,河南省,410000,"4,5",服务中心
德众汽车城店洛阳,汉宫路5号德众汽车城,34.69,112.42,,洛阳市,410300,河南省,410000,"5,4",服务中心
零跑中心三鑫店新乡,新乡市南环新能源汽车园内新乡零跑中心,35.260775,113.884087,0373-3359995,新乡市,410700,河南省,410000,"1,3,2,4,5",零跑中心
宝龙广场店新乡,金穗大道新乡宝龙广场B区一层M1-L1-019020072-2,35.294696,113.920292,0373-7736888,新乡市,410700,河南省,410000,"1,2",体验中心
新二街店新乡,河南省新乡市新二街与科隆大道交叉口北100米路西,35.27,113.92,,新乡市,410700,河南省,410000,"4,5",服务中心
亚飞汽贸店德州,山东省德州市开发区晶华路南首亚飞汽贸城院内零跑汽车,37.409915,116.377419,0534-2739777,德州市,371400,山东省,370000,"1,4,5,3,2",零跑中心
万达广场店德州,湖滨南大道669号德州万达广场1027B-1028铺位,37.43,116.31,18653496852,德州市,371400,山东省,370000,"1,2",体验中心
黄岩天佑城店台州,浙江省台州市黄岩区新前街道世纪大道378号台州天佑城L1-1026号,28.649889,121.251750,13355767777,台州市,331000,浙江省,330000,"1,2",体验中心
椒江万达店台州,白云街道台州万达广场室内步行街1031B商铺,28.635905,121.416959,13738327236,台州市,331000,浙江省,330000,"1,2",体验中心
二环南路店台州,东城街道二环南路22号,28.631236,121.265846,0576-84590000,台州市,331000,浙江省,330000,"1,3,4,5,2",零跑中心
玉环印象广场店台州,楚门镇环保中路255-51号,28.225463,121.288866,13305760232,台州市,331000,浙江省,330000,"1,2",体验中心
复地活力广场店台州,台州市路桥区路北街道腾达路527号1楼6-106-3铺,28.59033,121.37671,18958597958,台州市,331000,浙江省,330000,"1,2",体验中心
温岭宝龙广场店台州,浙江省台州市温岭市宝龙广场,28.403717,121.34313,13396912345,台州市,331000,浙江省,330000,"1,2",体验中心
椒江宝龙城店台州,葭芷街道黄海公路5号宝龙城M1-L1-033/067/068,28.674725,121.410285,0576-88789565,台州市,331000,浙江省,330000,"1,2",体验中心
临海朗成时代广场店台州,朗成时代广场一楼,28.854265,121.141819,13116565666,台州市,331000,浙江省,330000,"1,2",体验中心
洪西路店台州,洪家街道洪西路1号一期B幢8138,28.619829,121.416604,null,台州市,331000,浙江省,330000,"5,4",服务中心
迎宾大道店台州,西迎宾大道2号,28.557305,121.381266,,台州市,331000,浙江省,330000,"4,5",服务中心
玉环珠港大道店台州,台州玉环珠港大道店(中晨汽修),28.116072,121.249022,null,台州市,331000,浙江省,330000,"4,5",服务中心
吾悦广场店襄阳,高新技术开发区长虹北路77号吾悦广场一层1026室1-2商铺,32.093072,112.133502,18696221026,襄阳市,420600,湖北省,420000,"1,2",体验中心
钻石大道店襄阳,襄阳市襄州区钻石大道58号,32.08868,112.174727,13177222123,襄阳市,420600,湖北省,420000,"1,2,3,4,5",零跑中心
双金路店襄阳,春园西路街道109号,32.049804,112.098977,,襄阳市,420600,湖北省,420000,"4,5",服务中心
万达广场店唐山,唐山市路南区新华东道100号（万达广场）,39.624453,118.186511,0315-7772233,唐山市,130200,河北省,130000,"1,2",体验中心
友谊路店唐山,友谊路与翔云道交叉口南行100米 （路东）,39.643675,118.141933,,唐山市,130200,河北省,130000,"4,5",服务中心
